Seq;Md;Inc;Azi;"TVD(m)";"VSEC(m)";"NS(m)";"EW(m)";"DLS(30m)";"Northing(m)"
1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7191503.40
2;2105.00;0.00;0.00;2105.00;0.00;0.00;0.00;0.00;7191503.40
3;2175.00;0.61;66.50;2175.00;0.15;0.15;0.34;0.26;7191503.55
4;2291.00;0.65;136.08;2290.99;-0.08;-0.08;1.36;0.19;7191503.32
5;2329.00;0.51;157.56;2328.99;-0.39;-0.39;1.58;0.20;7191503.01
6;2413.00;0.43;162.53;2412.99;-1.04;-1.04;1.82;0.03;7191502.36
7;2461.00;0.55;151.56;2460.99;-1.41;-1.41;1.98;0.09;7191501.99
8;2485.00;0.29;149.52;2484.99;-1.56;-1.56;2.07;0.33;7191501.84
9;2564.00;0.46;164.58;2563.98;-2.04;-2.04;2.25;0.07;7191501.36
10;2602.00;0.42;167.17;2601.98;-2.33;-2.33;2.32;0.04;7191501.07
11;2641.00;0.67;153.98;2640.98;-2.67;-2.67;2.45;0.21;7191500.73
12;2678.00;0.75;162.25;2677.98;-3.10;-3.10;2.62;0.11;7191500.31
13;2718.00;0.55;154.45;2717.98;-3.52;-3.52;2.79;0.16;7191499.88
14;2796.00;0.75;155.21;2795.97;-4.32;-4.32;3.16;0.08;7191499.08
15;2913.00;0.84;165.11;2912.96;-5.84;-5.84;3.70;0.04;7191497.56
16;2956.00;0.98;171.26;2955.95;-6.51;-6.51;3.84;0.12;7191496.89
17;2990.00;1.08;175.08;2989.95;-7.12;-7.12;3.91;0.11;7191496.28
18;3029.00;1.36;165.65;3028.94;-7.93;-7.93;4.06;0.26;7191495.47
19;3106.00;1.66;158.89;3105.91;-9.86;-9.86;4.69;0.14;7191493.54
20;3145.00;1.84;160.97;3144.89;-10.98;-10.98;5.09;0.15;7191492.43
21;3184.00;1.82;162.91;3183.88;-12.16;-12.16;5.48;0.05;7191491.24
22;3223.00;1.97;165.03;3222.85;-13.40;-13.40;5.83;0.13;7191490.00
23;3300.00;2.00;172.70;3299.81;-16.01;-16.01;6.35;0.10;7191487.39
24;3377.00;2.70;151.08;3376.74;-18.93;-18.93;7.39;0.44;7191484.47
25;3416.00;3.07;159.14;3415.69;-20.71;-20.71;8.21;0.42;7191482.69
26;3455.00;3.12;163.41;3454.64;-22.70;-22.70;8.89;0.18;7191480.70
27;3532.00;3.32;161.85;3531.52;-26.83;-26.83;10.18;0.09;7191476.58
28;3648.00;1.92;200.00;3647.40;-31.85;-31.85;10.56;0.56;7191471.56
29;3766.00;0.06;260.48;3765.38;-33.72;-33.72;9.82;0.48;7191469.69
30;3806.00;0.10;30.34;3805.38;-33.69;-33.69;9.82;0.11;7191469.72
31;3843.00;0.09;333.70;3842.38;-33.64;-33.64;9.82;0.07;7191469.77
32;3883.00;0.06;308.42;3882.38;-33.60;-33.60;9.79;0.03;7191469.81
33;3959.00;0.10;142.19;3958.38;-33.62;-33.62;9.80;0.06;7191469.79
34;3999.00;0.06;177.26;3998.38;-33.67;-33.67;9.83;0.05;7191469.74
35;4038.00;0.06;319.69;4037.38;-33.68;-33.68;9.81;0.09;7191469.73
36;4077.00;0.09;43.52;4076.38;-33.64;-33.64;9.82;0.08;7191469.77
37;4116.00;0.06;162.14;4115.38;-33.64;-33.64;9.85;0.10;7191469.77
38;4193.00;0.06;250.15;4192.38;-33.69;-33.69;9.82;0.03;7191469.72
39;4231.00;0.06;291.93;4230.38;-33.69;-33.69;9.79;0.03;7191469.72
40;4348.00;0.06;359.88;4347.38;-33.60;-33.60;9.73;0.02;7191469.81
41;4388.00;0.09;276.12;4387.38;-33.58;-33.58;9.70;0.08;7191469.83
42;4426.00;0.06;40.12;4425.38;-33.56;-33.56;9.68;0.11;7191469.85
43;4505.00;0.09;93.14;4504.38;-33.53;-33.53;9.77;0.03;7191469.88
44;4543.00;0.06;131.26;4542.38;-33.55;-33.55;9.81;0.04;7191469.86
45;4582.00;0.06;147.22;4581.38;-33.58;-33.58;9.84;0.01;7191469.83
46;4658.00;0.06;150.54;4657.38;-33.65;-33.65;9.88;0.00;7191469.76
47;4697.00;0.06;101.93;4696.38;-33.67;-33.67;9.91;0.04;7191469.74
48;4737.00;0.06;25.70;4736.38;-33.65;-33.65;9.94;0.06;7191469.76
49;4775.00;0.09;303.69;4774.38;-33.62;-33.62;9.92;0.08;7191469.79
50;4814.00;0.10;157.44;4813.38;-33.63;-33.63;9.91;0.14;7191469.78
51;4852.00;0.03;20.04;4851.38;-33.66;-33.66;9.93;0.10;7191469.75
52;4891.00;0.06;69.21;4890.38;-33.64;-33.64;9.95;0.04;7191469.77
53;4930.00;0.10;166.16;4929.38;-33.66;-33.66;9.98;0.09;7191469.74
54;4970.00;0.09;314.56;4969.38;-33.68;-33.68;9.96;0.14;7191469.73
55;5008.00;0.09;263.14;5007.38;-33.66;-33.66;9.91;0.06;7191469.75
56;5046.00;0.06;274.26;5045.38;-33.66;-33.66;9.86;0.03;7191469.75
57;5142.00;0.09;315.90;5141.38;-33.60;-33.60;9.76;0.02;7191469.81
58;5259.00;0.30;260.07;5258.38;-33.59;-33.59;9.40;0.07;7191469.82
59;5377.00;0.27;256.07;5376.37;-33.71;-33.71;8.82;0.01;7191469.70
60;5416.00;0.36;217.23;5415.37;-33.83;-33.83;8.66;0.17;7191469.58
61;5493.00;0.31;227.88;5492.37;-34.16;-34.16;8.36;0.03;7191469.25
62;5531.00;0.26;256.48;5530.37;-34.25;-34.25;8.20;0.12;7191469.16
63;5572.00;0.40;240.08;5571.37;-34.34;-34.34;7.98;0.12;7191469.07
64;5610.00;0.27;249.42;5609.37;-34.44;-34.44;7.78;0.11;7191468.97
65;5647.00;0.29;234.02;5646.37;-34.53;-34.53;7.63;0.06;7191468.88
66;5724.00;0.37;232.08;5723.37;-34.79;-34.79;7.27;0.03;7191468.61
67;5866.00;0.30;226.68;5865.37;-35.33;-35.33;6.64;0.02;7191468.08
68;5881.00;0.29;247.81;5880.37;-35.37;-35.37;6.58;0.22;7191468.04
69;5918.00;0.40;227.64;5917.37;-35.50;-35.50;6.39;0.13;7191467.91
70;5958.00;0.35;206.60;5957.37;-35.70;-35.70;6.24;0.11;7191467.71
71;5995.00;0.43;258.37;5994.36;-35.83;-35.83;6.05;0.28;7191467.58